ID,Carat Weight,Cut,Color,Clarity,Polish,Symmetry,Report,Price,Price Prediction
1,1.1,Ideal,H,SI1,VG,EX,GIA," $5,169 ",
2,0.83,Ideal,H,VS1,ID,ID,AGSL," $3,470 ",
3,0.85,Ideal,H,SI1,EX,EX,GIA," $3,183 ",
4,0.91,Ideal,E,SI1,VG,VG,GIA," $4,370 ",
5,0.83,Ideal,G,SI1,EX,EX,GIA," $3,171 ",
6,1.53,Ideal,E,SI1,ID,ID,AGSL," $12,791 ",
7,1.0,Very Good,D,SI1,VG,G,GIA," $5,747 ",
8,1.5,Fair,F,SI1,VG,VG,GIA," $10,450 ",
9,2.11,Ideal,H,SI1,VG,VG,GIA," $18,609 ",
10,1.05,Very Good,E,VS1,VG,G,GIA," $7,666 ",
11,0.91,Ideal,D,VS2,VG,VG,GIA," $6,224 ",
12,1.01,Good,E,SI1,G,G,GIA," $5,161 ",
13,0.92,Good,I,VS2,VG,VG,GIA," $3,679 ",
14,2.51,Very Good,G,VS2,VG,VG,GIA," $34,361 ",
15,1.5,Very Good,F,SI1,VG,VG,GIA," $11,004 ",
16,2.2,Ideal,H,VS2,EX,VG,GIA," $22,241 ",
17,1.52,Ideal,D,VS1,EX,EX,GIA," $17,659 ",
18,1.28,Very Good,I,VS1,EX,VG,GIA," $6,726 ",
19,1.01,Good,I,SI1,VG,VG,GIA," $4,238 ",
20,0.9,Very Good,F,SI1,VG,EX,GIA," $3,624 ",
21,2.6,Ideal,G,VS2,EX,EX,GIA," $37,621 ",
22,0.8,Very Good,F,VS1,EX,G,GIA," $3,559 ",
23,1.07,Very Good,G,SI1,G,G,GIA," $4,829 ",
24,2.02,Good,I,VVS2,EX,VG,GIA," $19,756 ",
25,2.16,Ideal,F,VVS1,ID,ID,AGSL," $44,121 ",
26,2.03,Good,G,VS1,VG,VG,GIA," $23,726 ",
27,2.02,Very Good,I,SI1,G,G,GIA," $14,839 ",
28,1.01,Very Good,F,SI1,EX,EX,GIA," $5,010 ",
29,2.41,Very Good,H,VS2,EX,EX,GIA," $27,337 ",
30,0.9,Good,H,SI1,VG,G,GIA," $3,485 ",
31,0.92,Ideal,G,SI1,G,VG,GIA," $4,025 ",
32,1.01,Ideal,E,VVS2,EX,EX,GIA," $9,735 ",
33,2.04,Very Good,D,VVS1,VG,VG,GIA," $41,867 ",
34,1.56,Ideal,G,VS1,EX,EX,GIA," $14,957 ",
35,0.77,Signature-Ideal,F,SI1,EX,EX,GIA," $3,321 ",
36,2.01,Very Good,I,VS1,VG,VG,GIA," $18,023 ",
37,2.05,Very Good,H,VS2,VG,VG,GIA," $19,976 ",
38,1.01,Very Good,F,VS2,VG,VG,GIA," $6,257 ",
39,1.01,Very Good,E,SI1,EX,EX,GIA," $5,534 ",
40,0.86,Ideal,E,SI1,EX,EX,GIA," $4,228 ",
41,1.01,Good,G,SI1,VG,G,GIA," $4,905 ",
42,2.29,Very Good,F,VS1,EX,VG,GIA," $34,657 ",
43,1.28,Ideal,G,VVS2,ID,ID,AGSL," $10,958 ",
44,2.12,Ideal,F,VS1,EX,EX,GIA," $33,667 ",
45,0.9,Ideal,E,SI1,VG,VG,GIA," $4,921 ",
46,1.44,Ideal,D,SI1,G,G,GIA," $10,768 ",
47,2.28,Ideal,D,IF,VG,EX,GIA," $73,209 ",
48,1.01,Signature-Ideal,D,VVS2,ID,ID,AGSL," $12,996 ",
49,2.29,Ideal,G,VS2,VG,VG,GIA," $27,097 ",
50,0.8,Ideal,D,VS2,VG,EX,GIA," $3,817 ",
51,1.06,Signature-Ideal,G,VVS2,ID,ID,AGSL," $9,645 ",
52,1.62,Ideal,F,VS2,EX,EX,GIA," $18,281 ",
53,0.83,Ideal,E,SI1,EX,EX,GIA," $4,024 ",
